query,answer,reference,reference
What is the eligibility criteria for availing BITS Pilani International Travel Award?, The eligibility criteria for availing the BITS Pilani International Travel Award are not mentioned in the provided context.," To be eligible for the BITS Pilani International Travel Award, a PhD student must meet the following criteria:

1. The student must be a full-time PhD student at BITS Pilani.
2. The student must have an approved research proposal.
3. The student must have completed at least two years of their PhD program.
4. The student must have enrolled in a dual degree program or a cotutelle program.
5. The student must have received an international travel award from BITS Pilani.

To apply for the BITS Pilani International Travel Award, a PhD student must submit an application form and include important enclosures such as their abstract brochure, acceptance letter, and presentation registration receipt. The application must be submitted at least one month before the conference commencement date.

The selection committee will consider the following criteria when reviewing applications:

1. Limited assessment of the application.
2. Acceptance of the abstract presentation.
3. Quality of the conference.
4. Reputation of the conference conference organized.
5. Progress of the thesis project work.
6. Objective of the conference.
7. Quality of the work presented.

If selected, the BITS Pilani International Travel Award will provide travel support to the PhD student to attend the international conference. The award will cover economy class airfare, nearest airport conference registration charge, local conveyance, accommodation boarding visa fee, and international travel insurance. The student will be reimbursed up to INR 1 lakh based on actual expenditure incurred. The student must share their experience and acquired knowledge with their department upon their return.","Full-time PhD students of the Pilani Campus, KK Birla Goa Campus, and Hyderabad Campus of BITS Pilani are eligible to submit an application for the BITS Pilani International Travel Award.  PhD students after completing two years from the date of admission are eligible for consideration for the International Travel Award.  PhD students enrolled in dual degree programs (Cotutelle programs) are not eligible for the travel award.  A PhD student can receive the International Travel Award only once during their PhD program. "
What is the maximum limit of the grant for the International Travel Award?, The maximum limit of the grant for the International Travel Award is not specified in the given context., The maximum limit of the grant for the International Travel Award is INR 1 lakh.,INR 1.5 lakhs 
What are the items which can be purchased under the contingency (with Institute PhD fellowship)?," The specific items that can be purchased under the contingency with an Institute PhD fellowship are not explicitly stated in the given context. However, the context does mention that the contingency expense can be used for meeting expenses, salary expenses, HRA expenses, and other incidental expenses related to the fellowship. The contingency amount is not specified, but it is likely that it will be a certain percentage of the fellowship stipend or salary. It is recommended to refer to the fellowship guidelines or contact the funding agency for more information on the specific items that can be purchased under the contingency."," The items that can be purchased under the contingency (with Institute PhD fellowship) are not specified in the given context. However, the context mentions a contingency grant for the purchase of items, but it does not provide any details on what those items are.","The items which can be procured under the Institute Ph.D contingency grant (for the scholars getting Institute fellowship) related to the Ph.D research work are. 1) Books and journals 2) Stationary, calculator, laser pointer, laptop mouse & cooling pad and printer cartridges 3) Supplies of computer consumables like external storage device, battery for UPS/Computers, anti- virus and other software (add-on). 4) Travel for attending conference, workshop and Lab visiting and sample collecting and CSIR NET Exams 5) Registration Examination fee for participation in professional development programs (conference, workshop, school etc and CSIR-UGC NET.) 6) Chemicals/Glassware 7) Photocopying/Typing/Binding/ charges 8) Spare parts replacement and minor repair of computers/Laptops. 9) Charges for recording spectra other experimental facility utilization charges 10) Other consumable materials required for experimental/theoretical studies 11) Data cards/ Data purchases. "
What is the purpose of the Standard Operating Procedures (SOP) in GCIR?," The purpose of the Standard Operating Procedures (SOP) in GCIR is to provide a set of guidelines for conducting research work towards a degree program. The SOP outlines the necessary steps and procedures for obtaining necessary approvals, obtaining consent, and complying with regulations and laws. The SOP also includes information on the organization's policies, procedures, and protocols for conducting research and maintaining records. By following the SOP, researchers can ensure that their work is conducted in a responsible and ethical manner."," The Standard Operating Procedures (SOP) in GCIR refer to the guidelines and procedures that govern the organization and execution of research projects within the institution. SOPs provide clear instructions on how to conduct research, manage resources, and ensure compliance with ethical and legal standards. SOPs typically cover topics such as research methodology, data collection and analysis, ethics and informed consent, budgeting and financial management, and report writing and dissemination. SOPs are designed to ensure the efficient and effective execution of research projects and to promote scientific integrity and rigor in research.","The SOP aims to provide a clear, structured framework for managing grants and industrial research activities at BITS Pilani, Hyderabad Campus. "
In what language should the PhD thesis be written?, The language in which the PhD thesis should be written is not specified in the given context.," The language of the PhD thesis should be mentioned on the checklist. Based on the context, the language should be English. The checklist mentions that the researcher should tick the appropriate box to indicate whether English or another modern European language or an Indian language is adequate, necessary, or not necessary. If English is adequate, the researcher should tick the appropriate box and proceed to write the thesis in English.",English
What is a PhD student’s responsibility after bill clearance for the National Institute Travel Grant?, Responsibility of a PhD student after bill clearance for the National Institute Travel Grant is to submit to the study research division reimbursement contingency fund along with the necessary documents required for reimbursement. The student is responsible for ensuring that the original bills and other copies of the claims are enclosed and have not been claimed from any other fund/ project etc. either in BITS or outside the Institute.," After bill clearance for the National Institute Travel Grant, a PhD student's responsibility is to submit a travel allowance form within 15 days of the trip, including accurate travel details and original vouchers for reimbursement. The student is also responsible for sharing their experience and acquired knowledge with their department, submitting a formal presentation to the department head or an appropriate authority, and issuing a notice of presentation copy to the Academic Research Office. In case of trip cancellation, the grant remains unused and the student must inform the office in writing.","After attending the conference/symposium, the research scholar must share their experiences and acquired knowledge with the department through a formal presentation. The Head of the Department should issue a notice for this presentation, and a copy should be submitted to the AGSRD office along with travel-related documents for bill clearance. Submit the Travel Allowance (TA) and Daily Allowance (DA) form within 15 days of the trip, including accurate travel and DA details and all original vouchers and bills. Enclosures should include the registration certificate, registration fee receipt, travel tickets, and seminar notice indicating shared knowledge from the event. If travel documents are unavailable, the accounts office will use a standard distance-based calculation from the origin to the destination. In case the visit is canceled or the grants remain unused, please let the office know in writing. "
What is the maximum limit of the grant for the National Travel Award?," Unfortunately, the provided context does not mention the maximum limit of the grant for the National Travel Award. It only provides details about the institute's reimbursement policy for contingency grants and the application process for research scholarships and travel grants.", The maximum grant limit for the National Travel Award is INR 1 lakh.,"INR 25,000"
What is the checklist for a PhD research proposal?," The checklist for a PhD research proposal includes:

1. Outline of proposed topic research
2. Objective of proposed research
3. Proposed research aim
4. Background of proposed research
5. Methodology for the research
6. Expected outcome of the research
7. Summary page
8. Attached research proposal (if applicable)
9. Approval from the research board
10. Scrutiny by proposed supervisor and acceptance
11. Recommendation from proposed supervisor and approval from the dean of the institution
12. Compliance with academic regulations
13. Foreign language requirement (if applicable)
14. Signatures of proposed supervisor, dean of the institution, and student
15. Recommendation from chairman of the doctoral counseling committee."," The checklist for a PhD research proposal may vary depending on the institution and program. However, some common elements that should be included in a PhD research proposal checklist are:

1. Introduction: The introduction should provide background information on the research topic, explain the problem statement, and provide a clear research question.
2. Literature review: The literature review should provide a comprehensive overview of the existing research on the topic and highlight the gaps that the proposed research aims to fill.
3. Methodology: The methodology section should describe the research design, data collection and analysis methods, and statistical analysis techniques to be used.
4. Research question: The research question should be clearly stated and should be aligned with the objectives of the study.
5. Objectives: The objectives should be specific, measurable, achievable, relevant, and time-bound (SMART).
6. Scope: The scope of the study should be defined, including the boundaries of the research and the exclusion criteria.
7. Significance: The significance of the study should be explained, including its contribution to the existing knowledge and its potential impact on the field.
8. Ethical considerations: The ethical considerations should be addressed, including the obtained ethical approval, informed consent, and data protection procedures.
9. References: The references should be properly cited and organized according to the citation style guide.
10. Appendices: The appendices should include any additional information such as tables, figures, and questionnaires.
11. Timeline: The timeline should be included, including the start and end date of the project, and the expected duration of the research.
12. Budget: The budget should be included, including the estimated costs for equipment, materials, and other expenses.
13. Conclusion: The conclusion should summarize the proposed research, its significance, and its expected outcomes.

It's important to note that the checklist may vary depending on the institution and program, and you should always check with your supervisor or program coordinator for the specific requirements.", A PhD proposal should follow this layout: General Formatting Proposed Topic of Research Objectives of Proposed Research Background of Proposed Research Methodology and Work Plan References 
What are the guidelines for availing casual leaves by a PhD student?," The guidelines for availing casual leaves by a PhD student typically vary depending on the institution and the specific academic program. However, here are some general guidelines that you may follow:

1. Notify your supervisor and the HR department: Before taking any casual leave, you should notify your supervisor and the HR department of your plans. Some institutions require a written notice, while others may have an online portal for requesting leaves.
2. Keep track of your leave balance: PhD students are entitled to a certain number of casual leaves per academic year, which varies depending on the institution. Keep track of your leave balance and plan accordingly.
3. Provide a valid reason: When requesting casual leave, you should provide a valid reason for your absence. This could include medical issues, family emergencies, or other personal matters.
4. Follow up with your supervisor: After taking casual leave, you should follow up with your supervisor to ensure that you catch up on any missed work.
5. Document your leave: Keep a record of your casual leave, including the dates and reasons for your absence. This can be helpful when requesting leave in the future.

It's important to note that these are general guidelines and may vary depending on the institution and the specific academic program. It's always best to refer to the policies and procedures set by your institution for more accurate information."," According to the Birla Institute of Technology Science, Pilani academic graduate study research leave policy, a PhD student is eligible for casual leave for a maximum of 30 days in an academic year. However, the leave is not applicable during the entire duration of the PhD programme. The guidelines for availing casual leave are subject to approval by the supervisor and the institute. The guidelines for availing special casual leave and duty leave are also provided in the leave policy.",Casual leave is approved by the Supervisor. Casual leaves cannot be clubbed with any other leaves.
What is the difference between casual leaves and special casual leaves?," Casual leaves are leaves of absence granted to employees for personal or family reasons, such as attending a wedding or a funeral. Special casual leaves, on the other hand, are leaves of absence granted to employees for exceptional or unusual circumstances, such as a natural disaster or a serious illness. The main difference between these two types of leaves is the reason for the leave and the eligibility criteria for each."," Casual leaves and special casual leaves are both types of leaves of absence granted to employees by their employers. However, there are some key differences between the two:

1. Purpose: Casual leaves are typically granted for personal reasons, such as attending a family function or going on a vacation. Special casual leaves, on the other hand, may be granted for reasons related to the employee's job or work, such as attending a training or conference.
2. Duration: Casual leaves are usually granted for a shorter duration than special casual leaves. The duration of a casual leave is typically determined by the employee's seniority or the company's leave policy. Special casual leaves, on the other hand, may be granted for a longer duration, depending on the reason for the leave and the employee's job responsibilities.
3. Approval: Casual leaves are usually approved by the employee's immediate supervisor, while special casual leaves may require approval from a higher-level manager or the company's HR department.
4. Pay: Employees are usually paid for the duration of their casual leaves, while special casual leaves may be unpaid or may be paid at a reduced rate, depending on the company's leave policy.

Overall, casual leaves are granted for personal reasons, are usually shorter in duration, and are approved by the employee's immediate supervisor, while special casual leaves are granted for work-related reasons, may be longer in duration, and require approval from a higher-level manager or the company's HR department.",Special casual leave is permissible for attending conferences/ workshops/ symposia/ training programmes etc. as approved by DRC while a casual leave need not be approved by the DRC. Special casual leave should not be clubbed with on duty leave or casual leave while casual leave cannot be clubbed with any other type of leaves.
