query,answer,reference
What is the eligibility criteria for availing BITS Pilani International Travel Award?, The eligibility criteria for availing the BITS Pilani International Travel Award are not provided in the given context.,"Full-time PhD students of the Pilani Campus, KK Birla Goa Campus, and Hyderabad Campus of BITS Pilani are eligible to submit an application for the BITS Pilani International Travel Award.  PhD students after completing two years from the date of admission are eligible for consideration for the International Travel Award.  PhD students enrolled in dual degree programs (Cotutelle programs) are not eligible for the travel award.  A PhD student can receive the International Travel Award only once during their PhD program. "
What is the maximum limit of the grant for the International Travel Award?," There is no maximum limit specified in the given context for the International Travel Award. The amount of the grant is to be determined based on the financial involvement of the applicant and the purpose of the visit. The application should be submitted with the required details and supporting documents, and the grant amount will be determined based on the guidelines provided by the Birla Institute of Technology and Science, Pilani.",INR 1.5 lakhs 
What are the items which can be purchased under the contingency (with Institute PhD fellowship)?," The contingency expenses for the Institute PhD fellowship can be used for items such as research expenses, books, and equipment related to the research project. The amount used for contingency expenses can be claimed under the expense category ""Contingency Expenses"" in the financial statement of the project.","The items which can be procured under the Institute Ph.D contingency grant (for the scholars getting Institute fellowship) related to the Ph.D research work are. 1) Books and journals 2) Stationary, calculator, laser pointer, laptop mouse & cooling pad and printer cartridges 3) Supplies of computer consumables like external storage device, battery for UPS/Computers, anti- virus and other software (add-on). 4) Travel for attending conference, workshop and Lab visiting and sample collecting and CSIR NET Exams 5) Registration Examination fee for participation in professional development programs (conference, workshop, school etc and CSIR-UGC NET.) 6) Chemicals/Glassware 7) Photocopying/Typing/Binding/ charges 8) Spare parts replacement and minor repair of computers/Laptops. 9) Charges for recording spectra other experimental facility utilization charges 10) Other consumable materials required for experimental/theoretical studies 11) Data cards/ Data purchases. "
What is the purpose of the Standard Operating Procedures (SOP) in GCIR?," The purpose of the Standard Operating Procedures (SOP) in GCIR is to provide a set of guidelines and instructions for conducting research work towards a degree in the Birla Institute of Technology and Science (BITS) Pilani campus, including forwarding the result of the PH Qualifying Examination, obtaining official consent and permitting from the relevant authorities, and extending assistance and supervision to research students. The SOPs ensure consistency and efficiency in research processes, and provide a framework for the responsible conduct of research.","The SOP aims to provide a clear, structured framework for managing grants and industrial research activities at BITS Pilani, Hyderabad Campus. "
In what language should the PhD thesis be written?, The language in which the PhD thesis should be written is not specified in the provided context.,English
What is a PhD student’s responsibility after bill clearance for the National Institute Travel Grant?," A PhD student's responsibility after bill clearance for the National Institute Travel Grant may vary depending on the specific requirements of the grant and the institution where the student is enrolled. However, in general, the student's responsibility may include submitting a report or account of their travel expenses, providing documentation and receipts for the expenses, and ensuring that the expenses are within the guidelines of the grant. The student may also be required to present their research findings or findings related to their travel at a conference or seminar.","After attending the conference/symposium, the research scholar must share their experiences and acquired knowledge with the department through a formal presentation. The Head of the Department should issue a notice for this presentation, and a copy should be submitted to the AGSRD office along with travel-related documents for bill clearance. Submit the Travel Allowance (TA) and Daily Allowance (DA) form within 15 days of the trip, including accurate travel and DA details and all original vouchers and bills. Enclosures should include the registration certificate, registration fee receipt, travel tickets, and seminar notice indicating shared knowledge from the event. If travel documents are unavailable, the accounts office will use a standard distance-based calculation from the origin to the destination. In case the visit is canceled or the grants remain unused, please let the office know in writing. "
What is the maximum limit of the grant for the National Travel Award?, The maximum limit of the grant for the National Travel Award is not specified in the given context.,"INR 25,000"
What is the checklist for a PhD research proposal?," Here is a checklist for a PhD research proposal based on the given context:

1. Outline proposed topic research and objective.
2. Proposed research aim and keywords.
3. Background and literature survey.
4. Methodology, including phases and duration.
5. Expected outcome.
6. Summary page.
7. Appendices, including attached research proposal, approval from chairman and supervisor, and language requirement recommendation.

Note: The checklist should be concise and clearly state the requirements for a PhD research proposal, such as the need for an outline, objective, and expected outcome. It should also ensure that the proposal meets academic regulations and requirements, such as the need for approval from the research board and chairman, and the recommendation for a foreign language requirement.", A PhD proposal should follow this layout: General Formatting Proposed Topic of Research Objectives of Proposed Research Background of Proposed Research Methodology and Work Plan References 
What are the guidelines for availing casual leaves by a PhD student?," The guidelines for availing casual leaves by a PhD student may vary depending on the university or institution. However, some common guidelines may include:

1. The student must provide prior notice to their supervisor and the HR department.
2. The duration of the leave must be approved by the supervisor and the HR department.
3. The leave cannot exceed a certain number of days per year.
4. The leave cannot be taken during exams or important research periods.
5. The leave may be granted for personal or family reasons, such as illness, funeral, or a family emergency.
6. The student may be required to provide documentation to support their request.
7. The leave may be unpaid or partially paid, depending on the institution's policy.

It is important for the student to check with their university or institution for the specific guidelines that apply to their situation.",Casual leave is approved by the Supervisor. Casual leaves cannot be clubbed with any other leaves.
What is the difference between casual leaves and special casual leaves?," Casual leaves and special casual leaves are both types of leaves of absence granted to employees in some organizations, particularly in India. The main difference between the two is the purpose and duration of the leave.

Casual leaves are granted to employees for personal reasons, such as attending a family function or going on a short trip. These leaves are usually taken at the employee's own convenience and are not planned in advance. The maximum number of casual leaves that an employee can take in a year varies depending on the organization's policies.

Special casual leaves, on the other hand, are granted to employees for specific reasons, such as the death of a family member, marriage, or the birth of a child. These leaves are usually taken with prior notice and are subject to certain conditions and procedures. Special casual leaves are typically more generous in terms of the duration and the amount of leave that an employee can take.

In summary, the main difference between casual leaves and special casual leaves is that the former is granted for personal reasons and is taken at the employee's own convenience, while the latter is granted for specific reasons and is taken with prior notice.",Special casual leave is permissible for attending conferences/ workshops/ symposia/ training programmes etc. as approved by DRC while a casual leave need not be approved by the DRC. Special casual leave should not be clubbed with on duty leave or casual leave while casual leave cannot be clubbed with any other type of leaves.
When is an on-duty leave applicable?, An on-duty leave is applicable when an employee is unable to perform their job duties due to an illness or injury that was sustained while on duty.,On duty leave is applicable when the student is expected to perform PhD project work at an off-campus site without a formal agreement. 
How many members are present in the Departmental Research Committee (DRC)?, The number of members present in the Departmental Research Committee (DRC) is not provided in the context.,"The DRC consists of the Head of Department (HOD) as ex-officio member and Chairperson, and 2 to 6 faculty members, at the level of Assistant Professor or above, who are active in research. The size of DRC may depend on the number of faculty members in the Department."
What is the term of DRC members?," The provided context does not mention the term of DRC (Doctoral Research Committee) members. It only lists the name, affiliation, and date of suggestion or proposed date for some DRC members.",The term of the DRC members is 2 years
How many credits should a PhD candidate holding only a first degree be prescribed?, The number of credits prescribed for a PhD candidate holding only a first degree may vary depending on the institution and program requirements. It is recommended to check with the specific institution and program for their credit requirements.," Students holding first degree (B.Tech, B.E., M A, M.Sc etc.) must be prescribed a minimum of six courses spread in two semesters with a minimum of 24 units."
Is vertical transfer from B.Tech/M.Tech to PhD possible?," Yes, it is possible to transfer from B.Tech/M.Tech to a PhD program. Some universities and institutions offer direct entry programs or allow for transfer from undergraduate degree programs to PhD programs, depending on the field of study and the specific requirements of the program. It is important to research the specific requirements and policies of the university or institution you are interested in applying to, as they may vary.","Yes. Selection & recommendation of vertical transfer students should be done by the HOD/DRC, only after their source of fellowship/funding is identified and approved."
How much should a student secure to pass the PhD qualifying examination? ,,The rigor & quality of Ph. D qualifying examination is the responsibility of individual DRC�s. The student has to secure a minimum of 50% in individual sub areas. 
What are the proposed sub-areas for PhD Qualifying examination for the CS&IS department?,,"AI, Machine Learning & Data Mining  Computer Architecture, Embedded Systems & Robotics  Databases & Data Warehousing CS/IS  High Performance & Distributed Computing  Image Processing & Multimedia  Networking & Mobile Computing  Algorithms Theoretical Computer Science "
