query,reference,answer
What is the eligibility criteria for availing BITS Pilani International Travel Award?,"Full-time PhD students of the Pilani Campus, KK Birla Goa Campus, and Hyderabad Campus of BITS Pilani are eligible to submit an application for the BITS Pilani International Travel Award.  PhD students after completing two years from the date of admission are eligible for consideration for the International Travel Award.  PhD students enrolled in dual degree programs (Cotutelle programs) are not eligible for the travel award.  A PhD student can receive the International Travel Award only once during their PhD program. "," The eligibility criteria for availing the BITS Pilani International Travel Award includes being a PhD student of BITS Pilani, KK Birla Goa Campus, Hyderabad Campus, or Pilani Campus, and submitting an application form at least three months before the conference start date or immediately after the acceptance of the abstract or paper, whichever is earlier. The application should be submitted through the supervisor to the DRC of the research scholar. The DRC will review the application and submit a recommendation to the Selection Committee, which will meet periodically to review and select research scholars for the travel award. The Selection Committee recommendations will be considered and approved by the Director. In addition to this, the PhD student should be the first author of the paper or abstract, and the reputation of the conference where the conference is organized by a respectable Scientific Society/Association should be considered. Supervisor(s) and Doctoral Advisory Committee (DAC) members' and DRC recommendation on the progress of thesis project work in relation to the objectives approved in the thesis proposal should also be taken into account."
What is the maximum limit of the grant for the International Travel Award?,INR 1.5 lakhs , The maximum limit of the grant for the International Travel Award is not specified in the provided context.
What are the items which can be purchased under the contingency (with Institute PhD fellowship)?,"The items which can be procured under the Institute Ph.D contingency grant (for the scholars getting Institute fellowship) related to the Ph.D research work are. 1) Books and journals 2) Stationary, calculator, laser pointer, laptop mouse & cooling pad and printer cartridges 3) Supplies of computer consumables like external storage device, battery for UPS/Computers, anti- virus and other software (add-on). 4) Travel for attending conference, workshop and Lab visiting and sample collecting and CSIR NET Exams 5) Registration Examination fee for participation in professional development programs (conference, workshop, school etc and CSIR-UGC NET.) 6) Chemicals/Glassware 7) Photocopying/Typing/Binding/ charges 8) Spare parts replacement and minor repair of computers/Laptops. 9) Charges for recording spectra other experimental facility utilization charges 10) Other consumable materials required for experimental/theoretical studies 11) Data cards/ Data purchases. "," The items that can be purchased under the contingency with an Institute PhD fellowship can be found in the ""Institute Contigency Form"" and ""CONTINGENCY self project"" documents. These items include items purchased with a cash payment and can be claimed for reimbursement under the contingency grant. The specific items and their details can be found in the ""Detail Item"" columns of these forms."
What is the purpose of the Standard Operating Procedures (SOP) in GCIR?,"The SOP aims to provide a clear, structured framework for managing grants and industrial research activities at BITS Pilani, Hyderabad Campus. ", The purpose of the Standard Operating Procedures (SOP) in GCIR is not mentioned in the given context. Can you provide more context or information about the specific SOP being referred to?
In what language should the PhD thesis be written?,English," According to the PhD Guideline Brochure 2019, the PhD thesis should be written in English. This is stated under issue No. 9, which is titled ""Writing of thesis in English""."
What is a PhD student’s responsibility after bill clearance for the National Institute Travel Grant?,"After attending the conference/symposium, the research scholar must share their experiences and acquired knowledge with the department through a formal presentation. The Head of the Department should issue a notice for this presentation, and a copy should be submitted to the AGSRD office along with travel-related documents for bill clearance. Submit the Travel Allowance (TA) and Daily Allowance (DA) form within 15 days of the trip, including accurate travel and DA details and all original vouchers and bills. Enclosures should include the registration certificate, registration fee receipt, travel tickets, and seminar notice indicating shared knowledge from the event. If travel documents are unavailable, the accounts office will use a standard distance-based calculation from the origin to the destination. In case the visit is canceled or the grants remain unused, please let the office know in writing. "," The question does not directly relate to the leave policy for the institute supported PhD students. However, based on the information provided, a PhD student's responsibility after bill clearance for the National Institute Travel Grant is to perform their PhD project work at the site without a formal agreement."
What is the maximum limit of the grant for the National Travel Award?,"INR 25,000"," The maximum limit of the grant for the National Travel Award is INR 8,000 per day."
What is the checklist for a PhD research proposal?, A PhD proposal should follow this layout: General Formatting Proposed Topic of Research Objectives of Proposed Research Background of Proposed Research Methodology and Work Plan References ," 1. Name of the research proposal
2. Candidate ID
3. Place of research
4. Research work organization
5. Proposed supervisor qualification and designation
6. Proposed research topic
7. Objective of the proposed research
8. Background of the research
9. Methodology of the research
10. Expected outcome of the research
11. Summary page (exceeding 1 page)
12. Format for proposed research work place (appendix 5, including necessary infrastructural and technical facilities, and a letterhead with official seal and signing official certificate from the organization)"
What are the guidelines for availing casual leaves by a PhD student?,Casual leave is approved by the Supervisor. Casual leaves cannot be clubbed with any other leaves.," According to the leave policy for institute supported PhD students, a PhD student is eligible for a casual leave of maximum 30 days per academic year. Casual leave is approved by the supervisor, and the student is expected to perform their PhD project work site without a formal agreement. The leave is allowed for medical reasons, and the student can apply for a prolonged medical leave of maximum one year without pay."
What is the difference between casual leaves and special casual leaves?,Special casual leave is permissible for attending conferences/ workshops/ symposia/ training programmes etc. as approved by DRC while a casual leave need not be approved by the DRC. Special casual leave should not be clubbed with on duty leave or casual leave while casual leave cannot be clubbed with any other type of leaves.," The difference between casual leaves and special casual leaves is the duration. Casual leaves are allowed for a maximum of 30 days, while special casual leaves are allowed for a maximum of 15 days."
