query,answer
What is the eligibility criteria for availing BITS Pilani International Travel Award?, The eligibility criteria for availing the BITS Pilani International Travel Award are not mentioned in the provided context.
What is the maximum limit of the grant for the International Travel Award?, The maximum limit of the grant for the International Travel Award is not specified in the given context.
What are the items which can be purchased under the contingency (with Institute PhD fellowship)?," The specific items that can be purchased under the contingency with an Institute PhD fellowship are not explicitly stated in the given context. However, the context does mention that the contingency expense can be used for meeting expenses, salary expenses, HRA expenses, and other incidental expenses related to the fellowship. The contingency amount is not specified, but it is likely that it will be a certain percentage of the fellowship stipend or salary. It is recommended to refer to the fellowship guidelines or contact the funding agency for more information on the specific items that can be purchased under the contingency."
What is the purpose of the Standard Operating Procedures (SOP) in GCIR?," The purpose of the Standard Operating Procedures (SOP) in GCIR is to provide a set of guidelines for conducting research work towards a degree program. The SOP outlines the necessary steps and procedures for obtaining necessary approvals, obtaining consent, and complying with regulations and laws. The SOP also includes information on the organization's policies, procedures, and protocols for conducting research and maintaining records. By following the SOP, researchers can ensure that their work is conducted in a responsible and ethical manner."
In what language should the PhD thesis be written?, The language in which the PhD thesis should be written is not specified in the given context.
What is a PhD student’s responsibility after bill clearance for the National Institute Travel Grant?, Responsibility of a PhD student after bill clearance for the National Institute Travel Grant is to submit to the study research division reimbursement contingency fund along with the necessary documents required for reimbursement. The student is responsible for ensuring that the original bills and other copies of the claims are enclosed and have not been claimed from any other fund/ project etc. either in BITS or outside the Institute.
What is the maximum limit of the grant for the National Travel Award?," Unfortunately, the provided context does not mention the maximum limit of the grant for the National Travel Award. It only provides details about the institute's reimbursement policy for contingency grants and the application process for research scholarships and travel grants."
What is the checklist for a PhD research proposal?," The checklist for a PhD research proposal includes:

1. Outline of proposed topic research
2. Objective of proposed research
3. Proposed research aim
4. Background of proposed research
5. Methodology for the research
6. Expected outcome of the research
7. Summary page
8. Attached research proposal (if applicable)
9. Approval from the research board
10. Scrutiny by proposed supervisor and acceptance
11. Recommendation from proposed supervisor and approval from the dean of the institution
12. Compliance with academic regulations
13. Foreign language requirement (if applicable)
14. Signatures of proposed supervisor, dean of the institution, and student
15. Recommendation from chairman of the doctoral counseling committee."
What are the guidelines for availing casual leaves by a PhD student?," The guidelines for availing casual leaves by a PhD student typically vary depending on the institution and the specific academic program. However, here are some general guidelines that you may follow:

1. Notify your supervisor and the HR department: Before taking any casual leave, you should notify your supervisor and the HR department of your plans. Some institutions require a written notice, while others may have an online portal for requesting leaves.
2. Keep track of your leave balance: PhD students are entitled to a certain number of casual leaves per academic year, which varies depending on the institution. Keep track of your leave balance and plan accordingly.
3. Provide a valid reason: When requesting casual leave, you should provide a valid reason for your absence. This could include medical issues, family emergencies, or other personal matters.
4. Follow up with your supervisor: After taking casual leave, you should follow up with your supervisor to ensure that you catch up on any missed work.
5. Document your leave: Keep a record of your casual leave, including the dates and reasons for your absence. This can be helpful when requesting leave in the future.

It's important to note that these are general guidelines and may vary depending on the institution and the specific academic program. It's always best to refer to the policies and procedures set by your institution for more accurate information."
What is the difference between casual leaves and special casual leaves?," Casual leaves are leaves of absence granted to employees for personal or family reasons, such as attending a wedding or a funeral. Special casual leaves, on the other hand, are leaves of absence granted to employees for exceptional or unusual circumstances, such as a natural disaster or a serious illness. The main difference between these two types of leaves is the reason for the leave and the eligibility criteria for each."
When is an on-duty leave applicable?," An on-duty leave is applicable when an employee is unable to perform their job duties due to a personal or family emergency, illness, or other unexpected circumstances. The specific rules and policies regarding on-duty leave may vary depending on the organization and employment contract. It is recommended to refer to the organization's policies or consult with a HR representative for clarification."
How many members are present in the Departmental Research Committee (DRC)?," To determine the number of members present in the Departmental Research Committee (DRC), we need to analyze the context provided:

1. In the context, we can see that the Departmental Research Committee (DRC) is mentioned several times, but there is no explicit statement regarding the number of members present in it.
2. Similarly, the context mentions the Department of Technology and Science at BITS Pilani campus, but it does not provide any information about the number of members present in the department.
3. Therefore, we cannot determine the number of members present in the Departmental Research Committee (DRC) based on the given context.

In conclusion, we cannot answer the question with the information provided."
What is the term of DRC members?, The provided context does not mention the term of DRC (Doctoral Research Committee) members.
How many credits should a PhD candidate holding only a first degree be prescribed?, It is not specified in the given context how many credits a PhD candidate holding only a first degree should be prescribed.
Is vertical transfer from B.Tech/M.Tech to PhD possible?," Yes, vertical transfer from B.Tech/M.Tech to PhD is possible in some institutions. However, the admission requirements and procedures may vary depending on the institution and program. It is important to research and understand the specific requirements for each program and institution before applying."
How much should a student secure to pass the PhD qualifying examination? ," To pass the PhD qualifying examination, a student needs to secure at least a total of 200 marks out of 200 marks. This can be determined by looking at the extracted table for the evaluation sheet of the PhD qualifying examination, where the column ""Recommendation"" indicates whether a candidate has passed or failed the examination based on their total marks obtained."
What are the proposed sub-areas for PhD Qualifying examination for the CS&IS department?, The sub-areas for PhD qualifying examination in the CS&IS department are not specified in the given context or tables.
What steps should be taken in case of a change in supervisor of a PhD student?," If the supervisor of a PhD student changes, the following steps should be taken:

1. The student should inform the Department Research Committee (DRC) of the change in supervisor.
2. The student should update their research proposal outline and submit it to the DRC.
3. The student should inform the DRC of any changes in the research plan, timeline, or budget.
4. The student should update their research proposal summary page and submit it to the DRC.
5. The student should update their appendix, which should include the new supervisor's bio-data and consent.
6. The student should inform the DRC of any changes in the fellowship sponsor, source, and amount.
7. The student should submit a research proposal presentation notice to the DRC, which should include the name, ID, and date of the presentation."
"For submitting an industry research proposal, what are the different budget heads?"," The budget heads for submitting an industry research proposal are not specified in the provided context. However, it is recommended to include a detailed budget in the research proposal, outlining the expected expenses for each budget head, such as research materials, equipment, salaries for researchers, and travel expenses."
What are the 3 key funds along which the overhead costs are distributed?," The 3 key funds along which the overhead costs are distributed are:

1. Human Resource (HRA) expenses
2. Contingency expenses
3. Departmental assistance expenses."
"What are the allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) given that the overhead is less than 10% of the total budget?"," Unfortunately, the given tables do not provide sufficient information to determine the allocation percentages for the Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) based on the condition that the overhead is less than 10% of the total budget. The tables only provide information about the names of the candidates, their proposed topics, supervisors, DAC members, dates and times, and the venue of the PhD proposal seminar, as well as information about fellowship details, approval dates, and other related details. To determine the allocation percentages for the different funds, additional information about the total budget and the specific amounts allocated to each fund would be required."
"What are the allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) given that the overhead is more than 10% of the total budget?"," Given that the overhead is more than 10% of the total budget, the allocation percentages for Professional Development Fund (PDF), the Department Development Fund (DDF), and the Campus Development Fund (CDF) cannot be determined without additional information. The overhead must first be accounted for, and the remaining budget must be distributed among the three funds according to the institution's policies or decisions."
What activities does the professional development fund support?," The professional development fund supports various activities such as attending conferences, workshops, and training programs. The fund may also be used for research-related expenses, such as purchasing equipment or materials. Additionally, the fund may be used for travel expenses to participate in events or to visit potential research collaborators. The fund may also support networking activities and the development of professional skills. The application process for the fund typically involves submitting a proposal outlining the proposed activities and their expected outcomes."
What are the consulting restrictions for consulting activities for faculty members?, The provided context and table do not mention any consulting restrictions for faculty members.
What are the key steps involved in submitting a new research proposal?," The key steps involved in submitting a new research proposal are:

1. Format forwarding research proposal
2. Outline of the research proposal
3. Appendices
4. Evaluation sheet
5. Notice of research proposal presentation
6. Bio-data and consent of Co-supervisor (if applicable)"
What documents are required for submitting a consultancy proposal?," The documents required for submitting a consultancy proposal are not specified in the provided context. However, based on the context, documents such as a research proposal, appendix, and evaluation sheet are necessary for submitting a PhD research proposal. Additionally, if a co-supervisor is not a BITS faculty, bio-data and consent of the co-supervisor's organization permitting him to act as co-supervisor may also be required (Appendix 4 & 5)."
How many working days are required for the issuance of an endorsement certificate?, The number of working days required for the issuance of an endorsement certificate is not provided in the context.
How many days per year can faculty members allocate for consultancy projects?," The number of days per year that faculty members can allocate for consultancy projects varies depending on the institution and individual policies. However, it is common for faculty members to be allowed a certain number of days per academic year for consultancy work, typically ranging from 1-5 days per year. It is recommended to check with your institution's policy for the specific allocation for consultancy projects."
How many types of budget heads are there for industry-sponsored projects?," Based on the provided context, there are several types of budget heads that may be involved in an industry-sponsored project. These include:

1. Registration fee
2. Travel expense
3. Accommodation
4. Food
5. Total travel expense
6. Total expenses (including accommodation and food)
7. Financial involvement"
When should a PI submit the final proposal to a funding agency?, The final proposal should be submitted to a funding agency when it is required in the funding agency's guidelines or when the research is ready to begin.
When can research scholars apply for an experience certificate or relieving letter?," According to the context provided, research scholars can apply for an experience certificate or relieving letter after they have completed their research work and obtained their degree. The process for obtaining an experience certificate or relieving letter may vary depending on the specific research project and university guidelines. However, it is stated that research personnel joining a sponsored research project at Pilani are required to hold a net gate equivalent certification and undergo a rigorous interview process. Once they have completed their research work and obtained their degree, they can apply for an experience certificate or relieving letter as per the guidelines of their university."
When must travel approvals be obtained for using project funds?," Travel approvals must be obtained before using project funds for travel purposes. This is specified in the application form for the institute travel grant research scholarship, which states that the applicant must submit a form with the necessary details, including the purpose of the travel, the destination, the financial involvement, and the expected outcome of the travel. The application must also be approved by the relevant authorities before any travel expenses can be reimbursed using project funds."
How is time commitment for consultancy projects regulated?, Time commitment for consultancy projects is not specified in the provided context.
How is overhead cost distributed among different funds?," Overhead cost is not distributed among different funds in the provided context as it is not mentioned in the form for claiming reimbursement contingency grant self-sponsored fellowship. The form only includes information about the student's name, ID, department, PhD area, detail item purchased, cash amount paid, and recommended signature."
